year,crop,indicator,value,unit,flag,country,source
1992,Barley,Area harvested (ha),5627400.0,ha,A,Kazakhstan,FAOSTAT_QCL
1993,Barley,Area harvested (ha),6884600.0,ha,A,Kazakhstan,FAOSTAT_QCL
1994,Barley,Area harvested (ha),5649700.0,ha,A,Kazakhstan,FAOSTAT_QCL
1995,Barley,Area harvested (ha),3933700.0,ha,A,Kazakhstan,FAOSTAT_QCL
1996,Barley,Area harvested (ha),3280700.0,ha,A,Kazakhstan,FAOSTAT_QCL
1997,Barley,Area harvested (ha),2762100.0,ha,A,Kazakhstan,FAOSTAT_QCL
1998,Barley,Area harvested (ha),1767200.0,ha,A,Kazakhstan,FAOSTAT_QCL
1999,Barley,Area harvested (ha),1700700.0,ha,A,Kazakhstan,FAOSTAT_QCL
2000,Barley,Area harvested (ha),1625200.0,ha,A,Kazakhstan,FAOSTAT_QCL
2001,Barley,Area harvested (ha),1711500.0,ha,A,Kazakhstan,FAOSTAT_QCL
2002,Barley,Area harvested (ha),1736800.0,ha,A,Kazakhstan,FAOSTAT_QCL
2003,Barley,Area harvested (ha),1886900.0,ha,A,Kazakhstan,FAOSTAT_QCL
2004,Barley,Area harvested (ha),1642300.0,ha,A,Kazakhstan,FAOSTAT_QCL
2005,Barley,Area harvested (ha),1450600.0,ha,A,Kazakhstan,FAOSTAT_QCL
2006,Barley,Area harvested (ha),1671300.0,ha,A,Kazakhstan,FAOSTAT_QCL
2007,Barley,Area harvested (ha),1837800.0,ha,A,Kazakhstan,FAOSTAT_QCL
2008,Barley,Area harvested (ha),1966700.0,ha,A,Kazakhstan,FAOSTAT_QCL
2009,Barley,Area harvested (ha),1709300.0,ha,A,Kazakhstan,FAOSTAT_QCL
2010,Barley,Area harvested (ha),1332800.0,ha,A,Kazakhstan,FAOSTAT_QCL
2011,Barley,Area harvested (ha),1515337.0,ha,A,Kazakhstan,FAOSTAT_QCL
2012,Barley,Area harvested (ha),1634011.0,ha,A,Kazakhstan,FAOSTAT_QCL
2013,Barley,Area harvested (ha),1836666.0,ha,A,Kazakhstan,FAOSTAT_QCL
2014,Barley,Area harvested (ha),1909356.0,ha,A,Kazakhstan,FAOSTAT_QCL
2015,Barley,Area harvested (ha),2037246.0,ha,A,Kazakhstan,FAOSTAT_QCL
2016,Barley,Area harvested (ha),1894068.0,ha,A,Kazakhstan,FAOSTAT_QCL
2017,Barley,Area harvested (ha),2068766.0,ha,A,Kazakhstan,FAOSTAT_QCL
2018,Barley,Area harvested (ha),2516952.0,ha,A,Kazakhstan,FAOSTAT_QCL
2019,Barley,Area harvested (ha),2976843.0,ha,A,Kazakhstan,FAOSTAT_QCL
2020,Barley,Area harvested (ha),2728822.0,ha,A,Kazakhstan,FAOSTAT_QCL
2021,Barley,Area harvested (ha),2157478.0,ha,A,Kazakhstan,FAOSTAT_QCL
2022,Barley,Area harvested (ha),2187297.0,ha,A,Kazakhstan,FAOSTAT_QCL
2023,Barley,Area harvested (ha),2424652.0,ha,A,Kazakhstan,FAOSTAT_QCL
2024,Barley,Area harvested (ha),2283246.0,ha,A,Kazakhstan,FAOSTAT_QCL
1992,Barley,Production (t),8510800.0,t,A,Kazakhstan,FAOSTAT_QCL
1993,Barley,Production (t),7148500.0,t,A,Kazakhstan,FAOSTAT_QCL
1994,Barley,Production (t),5496900.0,t,A,Kazakhstan,FAOSTAT_QCL
1995,Barley,Production (t),2208100.0,t,A,Kazakhstan,FAOSTAT_QCL
1996,Barley,Production (t),2695800.0,t,A,Kazakhstan,FAOSTAT_QCL
1997,Barley,Production (t),2583000.0,t,A,Kazakhstan,FAOSTAT_QCL
1998,Barley,Production (t),1093280.0,t,A,Kazakhstan,FAOSTAT_QCL
1999,Barley,Production (t),2264900.0,t,A,Kazakhstan,FAOSTAT_QCL
