year,wheat_hrw_usd_t,wheat_srw_usd_t,barley_usd_t,maize_usd_t,rapeseed_oil_usd_t,sunflower_oil_usd_t,soybean_oil_usd_t,palm_oil_usd_t,dap_fertilizer_usd_t,urea_fertilizer_usd_t,source,months_count
1990,135.5225,129.08916666666667,79.925,109.27583333333332,,,447.3333333333333,289.75,154.67499999999998,115.64583333333333,WorldBank_PinkSheet_annual,12
1991,128.665,126.11333333333333,78.28666666666668,107.42,,,453.8333333333333,339.0,158.25,138.39583333333334,WorldBank_PinkSheet_annual,12
1992,151.20000000000002,145.14166666666668,78.675,104.24583333333334,,,428.9166666666667,393.5,137.87291666666667,117.60416666666667,WorldBank_PinkSheet_annual,12
1993,140.23833333333334,134.77416666666667,71.37666666666667,102.08999999999999,,,480.4166666666667,377.75,121.99583333333334,85.54166666666667,WorldBank_PinkSheet_annual,12
1994,149.72916666666666,138.555,72.64833333333333,107.55,,,615.5833333333334,528.4166666666666,160.42430555555583,93.88541666666667,WorldBank_PinkSheet_annual,12
1995,176.9825,167.35833333333335,104.01083333333334,123.4875,,,625.0833333333334,628.25,199.7722222222225,126.8625,WorldBank_PinkSheet_annual,12
1996,207.6,187.41916666666668,119.66583333333334,165.80916666666667,,,551.5,530.9166666666666,198.10416666666666,153.69166666666666,WorldBank_PinkSheet_annual,12
1997,159.48416666666665,143.64833333333334,97.23833333333333,117.09166666666665,,,564.75,545.8333333333334,186.98958333333334,117.49374999999999,WorldBank_PinkSheet_annual,12
1998,126.12666666666667,111.515,85.05333333333333,101.98666666666666,,,625.9166666666666,671.0833333333334,186.86319444444416,83.21666666666667,WorldBank_PinkSheet_annual,12
1999,112.0425,96.27833333333332,75.93833333333333,90.21666666666665,,,426.4683333333333,436.0,171.1,65.94236111111083,WorldBank_PinkSheet_annual,12
2000,114.08749999999999,98.91416666666667,77.23416666666667,88.53416666666668,,,338.14000000000004,310.25,147.66875000000002,100.92291666666667,WorldBank_PinkSheet_annual,12
2001,126.80833333333334,107.72416666666668,93.93666666666667,89.64083333333333,,,353.23499999999996,287.4583333333333,143.5097222222225,96.4534722222225,WorldBank_PinkSheet_annual,12
2002,148.07750000000001,129.9575,108.96749999999999,99.27083333333333,489.8372727272727,577.6666666666666,461.71000000000004,410.895,152.19375,94.41875,WorldBank_PinkSheet_annual,12
2003,146.1431,138.57684166666667,104.74049416666666,105.37007583333333,593.5833333333334,593.3333333333334,558.585,476.7033333333334,171.665625,138.18541666666667,WorldBank_PinkSheet_annual,12
2004,156.88168008749,144.44395972875,98.988547595,111.80347966666666,679.4158333333334,684.0833333333334,618.2258333333333,499.2808333333333,204.74375,174.91458333333333,WorldBank_PinkSheet_annual,12
2005,152.35059374973665,135.7200173296875,95.07712917583335,98.67179116666667,675.1541666666667,677.3333333333334,544.5933333333334,450.5641666666667,226.7854166666667,217.35208333333333,WorldBank_PinkSheet_annual,12
2006,192.04335668599833,158.96785216265667,116.61509517500001,121.85101775,791.0241666666667,658.0,599.335,508.2991666666667,229.8715277777775,222.13888888888917,WorldBank_PinkSheet_annual,12
2007,255.20611049679835,238.587672411,172.38121729166664,163.66491446666666,964.2283333333334,1021.9166666666666,886.0566666666667,816.6866666666666,391.96250000000003,307.1076388888892,WorldBank_PinkSheet_annual,12
2008,326.03004623959333,271.5203279291592,200.51552770252167,223.11682773333334,1326.0408333333332,1498.9166666666667,1260.8108333333332,1042.9233333333334,861.61875,514.9791666666666,WorldBank_PinkSheet_annual,12
2009,224.06988173743414,185.953589925,128.32218617003,165.50963333333334,871.9008333333333,854.6666666666666,853.065,741.1458333333334,288.46875,251.07916666666665,WorldBank_PinkSheet_annual,12
2010,223.58210540486252,229.67709914285751,158.38666512309334,185.91420833333333,1011.6566666666666,1074.3333333333333,1000.8558333333334,933.0233333333332,456.4270833333333,288.90416666666664,WorldBank_PinkSheet_annual,12
2011,316.2641325585392,285.91334630298917,207.19691870517082,291.68407333333334,1362.82,1597.7091666666665,1297.66,1193.3700000000001,516.2875,398.92291666666665,WorldBank_PinkSheet_annual,12
2012,313.24226961106837,295.3661879274459,240.28063808774667,298.41696413768085,1237.7083333333333,1447.6450000000002,1225.6025,1043.3975,480.23819444444416,398.6006944444442,WorldBank_PinkSheet_annual,12
2013,312.2478668979183,276.733461739185,203.00875833333248,259.38922323787915,1084.2666666666667,1155.4075,1055.3933333333332,870.7258333333333,410.97291666666666,339.6145833333333,WorldBank_PinkSheet_annual,12
2014,284.8859214,245.21163752024998,145.90297638888916,192.88121953333334,911.6633333333334,920.2958333333332,905.9691666666666,837.4691666666666,429.5864583333334,308.4375,WorldBank_PinkSheet_annual,12
2015,204.449128614,206.37664030275002,121.33064930555668,169.75022306666668,784.6475,888.4775,755.6325,663.3908333333333,416.62395833333335,277.9375,WorldBank_PinkSheet_annual,12
2016,166.63254345,176.30378359124998,103.91568229166751,159.1608872,827.7416666666667,867.3208333333333,814.9941666666667,735.7033333333334,315.81354166666665,194.1291666666667,WorldBank_PinkSheet_annual,12
2017,174.195615525,178.18260991725,97.63863923611082,154.53153846666666,879.8158333333334,817.8850000000001,850.3966666666666,750.8133333333334,323.02708333333334,213.875,WorldBank_PinkSheet_annual,12
2018,209.9288346,203.89093102725,125.88533298611252,164.4145468,830.0308333333332,765.4966666666666,789.1175,638.6558333333334,393.425,249.44958333333332,WorldBank_PinkSheet_annual,12
2019,201.692128575,211.27579630275,128.06698819444333,170.07008806666667,857.1866666666666,741.1033333333334,765.44,601.3666666666667,306.35499999999996,245.28166666666667,WorldBank_PinkSheet_annual,12
2020,231.56548795,227.73879764625,97.60036458332999,165.46600046666666,906.4321537216825,880.988337850045,837.75632231405,751.7661576212475,312.4241666666667,229.10083333333333,WorldBank_PinkSheet_annual,12
2021,315.2375,281.6606065851818,,259.54567977893333,1502.3308333333334,1404.0939758355908,1385.4066666666668,1130.5766666666666,600.9633333333333,483.2075,WorldBank_PinkSheet_annual,12
2022,429.97166666666664,381.91843016614285,,318.80665693333333,1756.7299999999998,1650.8083333333334,1666.7975,1275.9916666666666,772.1583333333333,700.015,WorldBank_PinkSheet_annual,12
2023,340.43,257.74181354863634,,252.65528515370417,1065.1408333333334,1006.6991666666667,1118.5016666666668,886.4533333333334,550.0483333333333,358.0016666666667,WorldBank_PinkSheet_annual,12
2024,268.67333333333335,230.878850445,,190.60477617364998,1089.3890968508615,1059.9750000000001,1021.9542980012442,963.3648258333333,563.665,338.26916666666665,WorldBank_PinkSheet_annual,12
2025,243.3325,219.61538460375002,,203.19753726864084,1226.4814225569482,1262.8893305316649,1139.8729249670616,1006.9804038115441,685.2199999999999,422.655,WorldBank_PinkSheet_annual,12
