year,gs_t2m_kelvin,gs_precip_m,gs_pot_evap_m,gs_soil_water_l1,gs_soil_water_l2,gs_solar_rad_jm2,gs_t2m_celsius,gs_precip_mm,gs_pot_evap_mm,gs_solar_rad_mjm2,source
1991,289.4228781082117,0.0009343776565692543,-0.007613802395991934,0.2749421243708697,0.2726190423136933,19517949.456947003,16.271666666666665,28.62833333333333,232.58833333333334,595.8688333333333,ERA5_real_gs
1992,286.1462164733199,0.001587081570155008,-0.005896207083892657,0.32383209894971965,0.31446098172085907,17518385.362479795,12.996666666666668,48.571666666666665,180.23666666666668,534.7633333333333,ERA5_real_gs
1993,286.5032254438799,0.0018242492716733314,-0.005934134776819503,0.34121563348010425,0.3334294545721231,17802869.81034017,13.353333333333333,55.67666666666667,181.505,543.7543333333333,ERA5_real_gs
1994,287.6453967794925,0.0015026814775752672,-0.006428121358035336,0.3179925579238541,0.31183352742041703,17951582.47125991,14.495,46.09666666666667,196.15,547.679,ERA5_real_gs
1995,289.27058141143675,0.0011469081810659778,-0.0075251830486656466,0.27885676507881046,0.27018351538681884,19088493.658715498,16.12,35.15333333333333,229.86333333333334,582.5523333333334,ERA5_real_gs
1996,286.9755233079305,0.0014654919002979985,-0.006364114393689474,0.3104159130843208,0.29736630110900536,18178095.137549862,13.823333333333332,44.76499999999999,194.47833333333332,555.0428333333333,ERA5_real_gs
1997,289.0044009928392,0.0009752120048686,-0.007584700262532639,0.27665670160323663,0.27325092957495384,18893177.6412589,15.853333333333333,29.923333333333332,231.53166666666667,576.4536666666667,ERA5_real_gs
1998,288.83009798572283,0.0010475480592592225,-0.0076466506391867995,0.27995546504610785,0.27183319407252277,19291600.869516958,15.678333333333335,31.91,233.90333333333334,589.2715,ERA5_real_gs
1999,287.91882916991966,0.0015261135695581625,-0.006847330416525223,0.3049673180623376,0.29603423097698556,18512508.022182226,14.768333333333333,46.571666666666665,209.4766666666667,565.4951666666667,ERA5_real_gs
2000,288.3580851055727,0.0015042011602884066,-0.006963453891604673,0.3043780031375253,0.29391171460967064,18417993.28256339,15.21,45.97666666666667,212.64833333333334,562.1255,ERA5_real_gs
2001,288.07892200888824,0.0015830853355426429,-0.006810944806598278,0.3112561284516307,0.3008343275631232,18564968.265211128,14.926666666666668,48.35,208.14499999999998,566.87,ERA5_real_gs
2002,287.2380545380849,0.001402194368705832,-0.006519176357838711,0.3134138039888539,0.30919174255500653,18535725.229287133,14.088333333333333,42.803333333333335,199.22166666666666,566.0241666666667,ERA5_real_gs
2003,288.39775094908396,0.00143918178968595,-0.006534216383760426,0.31039370686927853,0.3012298001622107,18470052.648770448,15.246666666666668,43.98666666666667,199.61,563.7671666666666,ERA5_real_gs
2004,289.07454905538305,0.001199838244389393,-0.0076172471544596965,0.2808802651935478,0.27629386154380614,19002265.512737133,15.923333333333332,36.58166666666667,232.74,580.3665,ERA5_real_gs
2005,288.63480005223363,0.0013835883372100065,-0.006608752049226528,0.30260421334429916,0.2958003679733106,18880213.670109417,15.485,42.385,201.98833333333334,576.2168333333333,ERA5_real_gs
2006,288.6804138491329,0.001255362048301483,-0.007338566557273461,0.28229570458609626,0.27357687377284085,18433279.43179878,15.530000000000001,38.21666666666667,224.13333333333333,563.055,ERA5_real_gs
2007,288.97993119027745,0.0013226882401481206,-0.007057502525371914,0.2951412214379525,0.28976696644200456,18859377.31730798,15.831666666666665,40.449999999999996,215.60833333333332,575.8951666666667,ERA5_real_gs
2008,289.14735601844075,0.0011245817781920491,-0.00759984158404031,0.27172176006001775,0.2635936070116423,19265657.920354065,15.998333333333335,34.31666666666667,232.25,588.3445,ERA5_real_gs
2009,287.99329217310293,0.0014169050242113584,-0.007001040329690005,0.29765028640192326,0.2869529529234354,18624079.69238663,14.843333333333334,43.416666666666664,213.87166666666667,568.6421666666666,ERA5_real_gs
2010,289.39487594539145,0.0007173384998622853,-0.008147615682634614,0.2556810146852953,0.25752536951386645,20296956.47357266,16.245,21.953333333333333,248.86166666666668,619.5306666666667,ERA5_real_gs
2011,288.9216230569704,0.0014601070203489296,-0.007089907368148236,0.2909694036095574,0.2833584905739212,18794073.85085056,15.773333333333333,44.56666666666666,216.66333333333333,573.933,ERA5_real_gs
2012,290.93738155470345,0.0010507578964652601,-0.008099323234901371,0.2612914912837039,0.25737450814780694,19641224.144156728,17.788333333333334,32.123333333333335,247.46833333333333,599.8488333333333,ERA5_real_gs
2013,288.2797983402536,0.0016535991296397466,-0.006820168283520324,0.3102898914991443,0.3057897520317299,18460322.17355969,15.13,50.803333333333335,208.11,563.3321666666667,ERA5_real_gs
2014,288.377987821669,0.001148159755060694,-0.007509968018431608,0.27702512773884996,0.2742088987656154,19137151.863283146,15.228333333333333,35.160000000000004,229.42499999999998,584.1971666666667,ERA5_real_gs
