time,t2m_kelvin,precip_m,pot_evap_m,soil_water_l1,soil_water_l2,solar_rad_jm2,year,month,t2m_celsius,precip_mm,pot_evap_mm,solar_rad_mjm2,source
1991-01-01,260.59124679086017,0.0010059771987408783,-0.00017229948553559214,0.3528265406136497,0.3360197020361802,3770877.1552253105,1991,1,-12.56,31.19,5.34,116.897,ERA5_real
1991-02-01,258.22110249767906,0.0003861799760294339,-0.0001983638292269489,0.3426897848081186,0.32976763831875255,7321701.519791176,1991,2,-14.93,10.81,5.55,205.008,ERA5_real
1991-03-01,264.184937335602,0.000639681925339564,-0.0005595394530480481,0.3513241658498195,0.3296953483311166,12532463.63868716,1991,3,-8.97,19.83,17.35,388.506,ERA5_real
1991-04-01,279.75444910904395,0.0002590832610502893,-0.004369409706257548,0.3895188518408677,0.3912468428232134,19087512.67794183,1991,4,6.6,7.77,131.08,572.625,ERA5_real
1991-05-01,288.82120314476316,0.0003127637089924495,-0.009425545841346158,0.23440976483718462,0.27289778066136683,23900175.687988408,1991,5,15.67,9.7,292.19,740.905,ERA5_real
1991-06-01,295.85187001298766,0.0006751287953338369,-0.010676157937243871,0.21194976141426417,0.2227054068261322,23613306.67379964,1991,6,22.7,20.25,320.28,708.399,ERA5_real
1991-07-01,294.8134715020674,0.0016000631230961347,-0.008716074929384863,0.2534579893986719,0.22629297692773392,21035281.66459417,1991,7,21.66,49.6,270.2,652.094,ERA5_real
1991-08-01,290.02784138141436,0.001671024109521595,-0.006917481069763076,0.28287589624737813,0.2616812840433076,17047943.26313382,1991,8,16.88,51.8,214.44,528.486,ERA5_real
1991-09-01,287.2684334989935,0.00108820294142122,-0.005578144891956085,0.27744048248685166,0.2608899626004061,12423476.774224153,1991,9,14.12,32.65,167.34,372.704,ERA5_real
1991-10-01,280.3369660899897,0.0004509869033375981,-0.002940375551651471,0.26504534144139597,0.25658420594050163,7405047.877896691,1991,10,7.19,13.98,91.15,229.556,ERA5_real
1991-11-01,269.0457232054532,0.0007348331515163919,-0.0006971673783973773,0.278114052741565,0.25975350255868973,4107187.8591725808,1991,11,-4.1,22.04,20.92,123.216,ERA5_real
1991-12-01,259.55265431288217,0.00126276340374222,-9.833751584155242e-05,0.28562776949289626,0.26999044193250704,2808626.8894681484,1991,12,-13.6,39.15,3.05,87.067,ERA5_real
1992-01-01,263.2237935477204,0.0009833131224594599,-0.00018764175265627715,0.28012476507881573,0.2706497244360579,3485235.3262101416,1992,1,-9.93,30.48,5.82,108.042,ERA5_real
1992-02-01,261.43925701785207,0.0006732974998351022,-0.00021538890136680856,0.2772460111636132,0.2689873443233223,7032752.546462608,1992,2,-11.71,19.53,6.25,203.95,ERA5_real
1992-03-01,265.48023056274985,0.0003082608181639795,-0.00048409838551080397,0.2900343100859252,0.2702088889358608,12694335.82950464,1992,3,-7.67,9.56,15.01,393.524,ERA5_real
