lat,lon,property,depth,value_raw,value,unit,source
50.0,62.0,bdod,0-5cm,124,1.24,cg/cm³,SoilGrids_v2
50.0,62.0,bdod,5-15cm,138,1.38,cg/cm³,SoilGrids_v2
50.0,62.0,bdod,15-30cm,142,1.42,cg/cm³,SoilGrids_v2
50.0,62.0,bdod,30-60cm,145,1.45,cg/cm³,SoilGrids_v2
50.0,62.0,cec,0-5cm,226,22.6,mmol(c)/kg,SoilGrids_v2
50.0,62.0,cec,5-15cm,226,22.6,mmol(c)/kg,SoilGrids_v2
50.0,62.0,cec,15-30cm,241,24.1,mmol(c)/kg,SoilGrids_v2
50.0,62.0,cec,30-60cm,246,24.6,mmol(c)/kg,SoilGrids_v2
50.0,62.0,clay,0-5cm,265,26.5,g/kg,SoilGrids_v2
50.0,62.0,clay,5-15cm,279,27.9,g/kg,SoilGrids_v2
50.0,62.0,clay,15-30cm,247,24.7,g/kg,SoilGrids_v2
50.0,62.0,clay,30-60cm,239,23.9,g/kg,SoilGrids_v2
50.0,62.0,nitrogen,0-5cm,349,3.49,cg/kg,SoilGrids_v2
50.0,62.0,nitrogen,5-15cm,253,2.53,cg/kg,SoilGrids_v2
50.0,62.0,nitrogen,15-30cm,182,1.82,cg/kg,SoilGrids_v2
50.0,62.0,nitrogen,30-60cm,160,1.6,cg/kg,SoilGrids_v2
50.0,62.0,phh2o,0-5cm,76,7.6,pH*10,SoilGrids_v2
50.0,62.0,phh2o,5-15cm,78,7.8,pH*10,SoilGrids_v2
50.0,62.0,phh2o,15-30cm,78,7.8,pH*10,SoilGrids_v2
50.0,62.0,phh2o,30-60cm,80,8.0,pH*10,SoilGrids_v2
50.0,62.0,sand,0-5cm,367,36.7,g/kg,SoilGrids_v2
50.0,62.0,sand,5-15cm,355,35.5,g/kg,SoilGrids_v2
50.0,62.0,sand,15-30cm,369,36.9,g/kg,SoilGrids_v2
50.0,62.0,sand,30-60cm,375,37.5,g/kg,SoilGrids_v2
50.0,62.0,silt,0-5cm,368,36.8,g/kg,SoilGrids_v2
50.0,62.0,silt,5-15cm,366,36.6,g/kg,SoilGrids_v2
50.0,62.0,silt,15-30cm,384,38.4,g/kg,SoilGrids_v2
50.0,62.0,silt,30-60cm,386,38.6,g/kg,SoilGrids_v2
50.0,62.0,soc,0-5cm,548,54.8,dg/kg,SoilGrids_v2
50.0,62.0,soc,5-15cm,436,43.6,dg/kg,SoilGrids_v2
50.0,62.0,soc,15-30cm,415,41.5,dg/kg,SoilGrids_v2
50.0,62.0,soc,30-60cm,509,50.9,dg/kg,SoilGrids_v2
50.0,68.0,bdod,0-5cm,109,1.09,cg/cm³,SoilGrids_v2
50.0,68.0,bdod,5-15cm,124,1.24,cg/cm³,SoilGrids_v2
50.0,68.0,bdod,15-30cm,132,1.32,cg/cm³,SoilGrids_v2
50.0,68.0,bdod,30-60cm,141,1.41,cg/cm³,SoilGrids_v2
50.0,68.0,cec,0-5cm,229,22.9,mmol(c)/kg,SoilGrids_v2
50.0,68.0,cec,5-15cm,217,21.7,mmol(c)/kg,SoilGrids_v2
50.0,68.0,cec,15-30cm,223,22.3,mmol(c)/kg,SoilGrids_v2
50.0,68.0,cec,30-60cm,218,21.8,mmol(c)/kg,SoilGrids_v2
50.0,68.0,clay,0-5cm,257,25.7,g/kg,SoilGrids_v2
50.0,68.0,clay,5-15cm,268,26.8,g/kg,SoilGrids_v2
50.0,68.0,clay,15-30cm,303,30.3,g/kg,SoilGrids_v2
50.0,68.0,clay,30-60cm,304,30.4,g/kg,SoilGrids_v2
50.0,68.0,nitrogen,0-5cm,399,3.99,cg/kg,SoilGrids_v2
50.0,68.0,nitrogen,5-15cm,324,3.24,cg/kg,SoilGrids_v2
50.0,68.0,nitrogen,15-30cm,208,2.08,cg/kg,SoilGrids_v2
50.0,68.0,nitrogen,30-60cm,137,1.37,cg/kg,SoilGrids_v2
50.0,68.0,phh2o,0-5cm,76,7.6,pH*10,SoilGrids_v2
50.0,68.0,phh2o,5-15cm,77,7.7,pH*10,SoilGrids_v2
50.0,68.0,phh2o,15-30cm,77,7.7,pH*10,SoilGrids_v2
50.0,68.0,phh2o,30-60cm,80,8.0,pH*10,SoilGrids_v2
50.0,68.0,sand,0-5cm,437,43.7,g/kg,SoilGrids_v2
50.0,68.0,sand,5-15cm,430,43.0,g/kg,SoilGrids_v2
50.0,68.0,sand,15-30cm,411,41.1,g/kg,SoilGrids_v2
50.0,68.0,sand,30-60cm,410,41.0,g/kg,SoilGrids_v2
50.0,68.0,silt,0-5cm,306,30.6,g/kg,SoilGrids_v2
50.0,68.0,silt,5-15cm,301,30.1,g/kg,SoilGrids_v2
50.0,68.0,silt,15-30cm,286,28.6,g/kg,SoilGrids_v2
50.0,68.0,silt,30-60cm,287,28.7,g/kg,SoilGrids_v2
50.0,68.0,soc,0-5cm,452,45.2,dg/kg,SoilGrids_v2
50.0,68.0,soc,5-15cm,292,29.2,dg/kg,SoilGrids_v2
50.0,68.0,soc,15-30cm,318,31.8,dg/kg,SoilGrids_v2
50.0,68.0,soc,30-60cm,202,20.2,dg/kg,SoilGrids_v2
50.0,71.0,bdod,0-5cm,106,1.06,cg/cm³,SoilGrids_v2
50.0,71.0,bdod,5-15cm,118,1.18,cg/cm³,SoilGrids_v2
50.0,71.0,bdod,15-30cm,131,1.31,cg/cm³,SoilGrids_v2
50.0,71.0,bdod,30-60cm,142,1.42,cg/cm³,SoilGrids_v2
50.0,71.0,cec,0-5cm,281,28.1,mmol(c)/kg,SoilGrids_v2
50.0,71.0,cec,5-15cm,279,27.9,mmol(c)/kg,SoilGrids_v2
50.0,71.0,cec,15-30cm,267,26.7,mmol(c)/kg,SoilGrids_v2
50.0,71.0,cec,30-60cm,240,24.0,mmol(c)/kg,SoilGrids_v2
50.0,71.0,clay,0-5cm,267,26.7,g/kg,SoilGrids_v2
50.0,71.0,clay,5-15cm,264,26.4,g/kg,SoilGrids_v2
50.0,71.0,clay,15-30cm,284,28.4,g/kg,SoilGrids_v2
50.0,71.0,clay,30-60cm,301,30.1,g/kg,SoilGrids_v2
50.0,71.0,nitrogen,0-5cm,511,5.11,cg/kg,SoilGrids_v2
50.0,71.0,nitrogen,5-15cm,377,3.77,cg/kg,SoilGrids_v2
50.0,71.0,nitrogen,15-30cm,278,2.78,cg/kg,SoilGrids_v2
50.0,71.0,nitrogen,30-60cm,164,1.64,cg/kg,SoilGrids_v2
50.0,71.0,phh2o,0-5cm,74,7.4,pH*10,SoilGrids_v2
50.0,71.0,phh2o,5-15cm,75,7.5,pH*10,SoilGrids_v2
50.0,71.0,phh2o,15-30cm,76,7.6,pH*10,SoilGrids_v2
50.0,71.0,phh2o,30-60cm,78,7.8,pH*10,SoilGrids_v2
50.0,71.0,sand,0-5cm,460,46.0,g/kg,SoilGrids_v2
50.0,71.0,sand,5-15cm,466,46.6,g/kg,SoilGrids_v2
50.0,71.0,sand,15-30cm,448,44.8,g/kg,SoilGrids_v2
50.0,71.0,sand,30-60cm,441,44.1,g/kg,SoilGrids_v2
50.0,71.0,silt,0-5cm,273,27.3,g/kg,SoilGrids_v2
50.0,71.0,silt,5-15cm,271,27.1,g/kg,SoilGrids_v2
50.0,71.0,silt,15-30cm,267,26.7,g/kg,SoilGrids_v2
50.0,71.0,silt,30-60cm,258,25.8,g/kg,SoilGrids_v2
50.0,71.0,soc,0-5cm,666,66.6,dg/kg,SoilGrids_v2
50.0,71.0,soc,5-15cm,316,31.6,dg/kg,SoilGrids_v2
50.0,71.0,soc,15-30cm,244,24.4,dg/kg,SoilGrids_v2
50.0,71.0,soc,30-60cm,197,19.7,dg/kg,SoilGrids_v2
51.5,62.0,bdod,0-5cm,116,1.16,cg/cm³,SoilGrids_v2
51.5,62.0,bdod,5-15cm,127,1.27,cg/cm³,SoilGrids_v2
51.5,62.0,bdod,15-30cm,132,1.32,cg/cm³,SoilGrids_v2
51.5,62.0,bdod,30-60cm,142,1.42,cg/cm³,SoilGrids_v2
51.5,62.0,cec,0-5cm,216,21.6,mmol(c)/kg,SoilGrids_v2
51.5,62.0,cec,5-15cm,226,22.6,mmol(c)/kg,SoilGrids_v2
51.5,62.0,cec,15-30cm,201,20.1,mmol(c)/kg,SoilGrids_v2
51.5,62.0,cec,30-60cm,209,20.9,mmol(c)/kg,SoilGrids_v2
51.5,62.0,clay,0-5cm,300,30.0,g/kg,SoilGrids_v2
51.5,62.0,clay,5-15cm,318,31.8,g/kg,SoilGrids_v2
51.5,62.0,clay,15-30cm,350,35.0,g/kg,SoilGrids_v2
51.5,62.0,clay,30-60cm,339,33.9,g/kg,SoilGrids_v2
51.5,62.0,nitrogen,0-5cm,469,4.69,cg/kg,SoilGrids_v2
51.5,62.0,nitrogen,5-15cm,323,3.23,cg/kg,SoilGrids_v2
51.5,62.0,nitrogen,15-30cm,300,3.0,cg/kg,SoilGrids_v2
51.5,62.0,nitrogen,30-60cm,259,2.59,cg/kg,SoilGrids_v2
51.5,62.0,phh2o,0-5cm,74,7.4,pH*10,SoilGrids_v2
51.5,62.0,phh2o,5-15cm,75,7.5,pH*10,SoilGrids_v2
