lat,lon,depth,bdod,cec,clay,nitrogen,phh2o,sand,silt,soc,source
50.0,62.0,0-5cm,1.24,22.6,26.5,3.49,7.6,36.7,36.8,54.8,SoilGrids_v2
50.0,62.0,15-30cm,1.42,24.1,24.7,1.82,7.8,36.9,38.4,41.5,SoilGrids_v2
50.0,62.0,30-60cm,1.45,24.6,23.9,1.6,8.0,37.5,38.6,50.9,SoilGrids_v2
50.0,62.0,5-15cm,1.38,22.6,27.9,2.53,7.8,35.5,36.6,43.6,SoilGrids_v2
50.0,65.0,0-5cm,1.14,24.3,26.3,6.74,7.4,36.5,37.2,87.5,SoilGrids_v2
50.0,65.0,15-30cm,1.26,23.7,26.5,3.25,7.5,35.9,37.6,31.7,SoilGrids_v2
50.0,65.0,30-60cm,1.35,23.5,26.8,2.51,7.7,35.3,37.9,28.0,SoilGrids_v2
50.0,65.0,5-15cm,1.23,22.3,26.2,4.85,7.4,36.0,37.7,63.9,SoilGrids_v2
50.0,68.0,0-5cm,1.09,22.9,25.7,3.99,7.6,43.7,30.6,45.2,SoilGrids_v2
50.0,68.0,15-30cm,1.32,22.3,30.3,2.08,7.7,41.1,28.6,31.8,SoilGrids_v2
50.0,68.0,30-60cm,1.41,21.8,30.4,1.37,8.0,41.0,28.7,20.2,SoilGrids_v2
50.0,68.0,5-15cm,1.24,21.7,26.8,3.24,7.7,43.0,30.1,29.2,SoilGrids_v2
50.0,71.0,0-5cm,1.06,28.1,26.7,5.11,7.4,46.0,27.3,66.6,SoilGrids_v2
50.0,71.0,15-30cm,1.31,26.7,28.4,2.78,7.6,44.8,26.7,24.4,SoilGrids_v2
50.0,71.0,30-60cm,1.42,24.0,30.1,1.64,7.8,44.1,25.8,19.7,SoilGrids_v2
50.0,71.0,5-15cm,1.18,27.9,26.4,3.77,7.5,46.6,27.1,31.6,SoilGrids_v2
50.0,74.0,0-5cm,1.11,24.4,26.4,4.99,7.4,42.3,31.3,52.0,SoilGrids_v2
50.0,74.0,15-30cm,1.29,24.5,28.4,2.63,7.5,41.0,30.7,17.1,SoilGrids_v2
50.0,74.0,30-60cm,1.4,22.9,27.9,1.69,7.8,41.6,30.5,19.0,SoilGrids_v2
50.0,74.0,5-15cm,1.21,24.5,27.8,2.71,7.5,41.7,30.5,29.6,SoilGrids_v2
51.5,62.0,0-5cm,1.16,21.6,30.0,4.69,7.4,41.2,28.8,52.0,SoilGrids_v2
51.5,62.0,15-30cm,1.32,20.1,35.0,3.0,7.5,38.2,26.8,29.9,SoilGrids_v2
51.5,62.0,30-60cm,1.42,20.9,33.9,2.59,7.8,38.7,27.4,22.5,SoilGrids_v2
51.5,62.0,5-15cm,1.27,22.6,31.8,3.23,7.5,40.1,28.1,36.2,SoilGrids_v2
51.5,65.0,0-5cm,1.09,24.5,22.5,4.52,7.4,51.2,26.4,55.0,SoilGrids_v2
51.5,65.0,15-30cm,1.31,23.9,26.1,1.83,7.5,48.0,25.9,28.7,SoilGrids_v2
51.5,65.0,30-60cm,1.42,23.1,25.5,1.47,7.6,48.1,26.3,17.5,SoilGrids_v2
51.5,65.0,5-15cm,1.21,25.0,24.7,2.96,7.4,49.4,26.0,29.9,SoilGrids_v2
51.5,68.0,0-5cm,1.04,25.1,23.2,4.86,7.2,50.9,25.9,60.8,SoilGrids_v2
51.5,68.0,15-30cm,1.28,22.2,24.7,2.51,7.4,49.1,26.2,27.2,SoilGrids_v2
51.5,68.0,30-60cm,1.38,18.9,25.3,2.24,7.8,48.3,26.4,22.6,SoilGrids_v2
51.5,68.0,5-15cm,1.16,24.2,24.8,3.22,7.3,49.7,25.4,31.3,SoilGrids_v2
51.5,71.0,0-5cm,0.99,32.8,24.7,6.14,6.9,42.0,33.3,59.7,SoilGrids_v2
51.5,71.0,15-30cm,1.26,28.8,30.0,3.46,7.1,40.1,29.9,46.7,SoilGrids_v2
51.5,71.0,30-60cm,1.39,30.8,31.4,3.32,7.3,38.8,29.8,35.3,SoilGrids_v2
51.5,71.0,5-15cm,1.11,31.3,25.6,3.31,7.0,40.9,33.4,50.3,SoilGrids_v2
51.5,74.0,0-5cm,1.03,35.3,29.1,4.89,7.1,42.0,28.8,71.6,SoilGrids_v2
51.5,74.0,15-30cm,1.3,31.4,29.3,2.73,7.3,41.1,29.6,45.0,SoilGrids_v2
51.5,74.0,30-60cm,1.39,31.2,28.2,2.27,7.3,41.9,29.8,37.4,SoilGrids_v2
51.5,74.0,5-15cm,1.16,33.1,29.6,2.91,7.2,41.2,29.2,44.1,SoilGrids_v2
53.0,62.0,0-5cm,1.02,28.5,27.0,5.64,7.0,44.6,28.5,68.4,SoilGrids_v2
53.0,62.0,15-30cm,1.31,24.2,30.5,2.9,7.3,42.0,27.4,38.0,SoilGrids_v2
53.0,62.0,30-60cm,1.39,23.1,29.6,3.23,7.4,42.5,27.9,41.2,SoilGrids_v2
53.0,62.0,5-15cm,1.17,26.7,28.3,2.71,7.2,43.6,28.1,43.5,SoilGrids_v2
53.0,65.0,0-5cm,1.06,35.4,25.6,5.9,6.9,40.8,33.6,77.5,SoilGrids_v2
53.0,65.0,15-30cm,1.31,29.1,30.2,3.28,7.3,37.6,32.2,34.9,SoilGrids_v2
53.0,65.0,30-60cm,1.37,27.0,29.7,3.24,7.6,38.1,32.2,32.2,SoilGrids_v2
53.0,65.0,5-15cm,1.2,33.3,27.4,3.32,7.1,39.7,32.8,45.9,SoilGrids_v2
53.0,68.0,0-5cm,1.02,44.1,23.9,4.02,6.7,42.6,33.5,62.3,SoilGrids_v2
53.0,68.0,15-30cm,1.26,36.8,23.6,3.24,7.0,44.2,32.3,18.3,SoilGrids_v2
53.0,68.0,30-60cm,1.42,35.2,25.1,2.67,7.3,42.9,32.0,15.5,SoilGrids_v2
53.0,68.0,5-15cm,1.14,39.1,24.9,2.8,6.9,41.6,33.5,40.2,SoilGrids_v2
53.0,71.0,0-5cm,1.02,44.4,24.1,3.59,6.7,40.4,35.5,59.9,SoilGrids_v2
53.0,71.0,15-30cm,1.28,36.2,24.0,3.47,6.9,41.3,34.7,29.7,SoilGrids_v2
53.0,71.0,30-60cm,1.4,35.8,25.0,2.94,7.1,40.7,34.2,31.2,SoilGrids_v2
53.0,71.0,5-15cm,1.19,38.0,24.1,2.41,6.8,40.6,35.4,56.0,SoilGrids_v2
53.0,74.0,0-5cm,1.06,38.9,23.7,5.03,6.8,41.2,35.1,63.0,SoilGrids_v2
53.0,74.0,15-30cm,1.31,39.4,23.2,2.04,7.1,40.2,36.6,27.9,SoilGrids_v2
53.0,74.0,30-60cm,1.39,39.3,25.5,1.81,7.4,38.6,35.9,26.3,SoilGrids_v2
53.0,74.0,5-15cm,1.2,38.2,23.6,2.75,7.0,39.5,37.0,40.5,SoilGrids_v2
54.5,62.0,0-5cm,0.99,37.7,27.4,4.16,6.7,29.5,43.1,50.0,SoilGrids_v2
54.5,62.0,15-30cm,1.27,34.1,30.1,4.43,6.9,28.0,41.8,29.6,SoilGrids_v2
54.5,62.0,30-60cm,1.37,33.2,32.6,4.33,7.3,27.5,39.9,28.8,SoilGrids_v2
54.5,62.0,5-15cm,1.11,36.7,29.8,3.41,6.8,27.9,42.3,38.0,SoilGrids_v2
54.5,65.0,0-5cm,0.98,43.3,28.8,5.34,6.7,35.9,35.4,63.7,SoilGrids_v2
54.5,65.0,15-30cm,1.26,43.7,27.8,3.11,6.9,35.3,36.9,20.6,SoilGrids_v2
54.5,65.0,30-60cm,1.39,41.0,27.0,2.77,7.1,35.3,37.7,15.6,SoilGrids_v2
54.5,65.0,5-15cm,1.11,43.3,28.5,3.59,6.8,35.7,35.8,43.4,SoilGrids_v2
54.5,68.0,0-5cm,1.02,44.3,28.3,5.91,6.7,38.2,33.5,62.5,SoilGrids_v2
54.5,68.0,15-30cm,1.28,38.9,27.4,2.96,6.9,38.1,34.5,26.7,SoilGrids_v2
54.5,68.0,30-60cm,1.38,38.0,27.5,2.4,7.1,39.0,33.5,15.2,SoilGrids_v2
54.5,68.0,5-15cm,1.13,39.6,27.8,3.41,6.8,38.2,34.1,38.7,SoilGrids_v2
54.5,71.0,0-5cm,0.97,46.3,25.1,5.89,6.6,42.1,32.7,83.5,SoilGrids_v2
54.5,71.0,15-30cm,1.25,40.5,25.6,3.43,6.6,42.3,32.0,41.6,SoilGrids_v2
54.5,71.0,30-60cm,1.39,37.2,25.5,2.53,7.1,42.3,32.1,39.1,SoilGrids_v2
54.5,71.0,5-15cm,1.09,42.6,24.8,4.3,6.6,43.1,32.1,53.5,SoilGrids_v2
54.5,74.0,0-5cm,0.94,49.3,28.2,5.83,6.5,41.6,30.1,62.5,SoilGrids_v2
54.5,74.0,15-30cm,1.25,49.5,32.1,3.19,6.6,39.7,28.1,22.9,SoilGrids_v2
54.5,74.0,30-60cm,1.37,44.8,33.6,2.8,7.0,39.1,27.3,17.9,SoilGrids_v2
54.5,74.0,5-15cm,1.14,50.8,28.8,3.82,6.5,41.7,29.5,43.5,SoilGrids_v2
