year,region,crop,area_ha,production_ton,yield_kgha,source
1991,Акмолинская область,Зерновые и бобовые (группа),4700100.0,2607800.0,640.0,stat_gov_kz_real_group
1992,Акмолинская область,Зерновые и бобовые (группа),4670700.0,6918800.0,1780.0,stat_gov_kz_real_group
1993,Акмолинская область,Зерновые и бобовые (группа),4580600.0,4186000.0,1050.0,stat_gov_kz_real_group
1994,Акмолинская область,Зерновые и бобовые (группа),4390300.0,2954500.0,680.0,stat_gov_kz_real_group
1995,Акмолинская область,Зерновые и бобовые (группа),4193500.0,2444600.0,620.0,stat_gov_kz_real_group
1996,Акмолинская область,Зерновые и бобовые (группа),4054000.0,2616300.0,740.0,stat_gov_kz_real_group
1997,Акмолинская область,Зерновые и бобовые (группа),3633300.0,1973000.0,560.0,stat_gov_kz_real_group
1998,Акмолинская область,Зерновые и бобовые (группа),3080500.0,1055700.0,370.0,stat_gov_kz_real_group
1999,Акмолинская область,Зерновые и бобовые (группа),2728207.0,3577500.0,1330.0,stat_gov_kz_real_group
2000,Акмолинская область,Зерновые и бобовые (группа),3191176.0,2541900.0,790.0,stat_gov_kz_real_group
2001,Акмолинская область,Зерновые и бобовые (группа),3315824.0,3661800.0,1120.0,stat_gov_kz_real_group
2002,Акмолинская область,Зерновые и бобовые (группа),3590425.0,3233600.0,910.0,stat_gov_kz_real_group
2003,Акмолинская область,Зерновые и бобовые (группа),3425116.0,3112200.0,910.0,stat_gov_kz_real_group
2004,Акмолинская область,Зерновые и бобовые (группа),3606012.0,2475394.8000000003,710.0,stat_gov_kz_real_group
2005,Акмолинская область,Зерновые и бобовые (группа),3604292.0,2966748.9000000004,850.0,stat_gov_kz_real_group
2006,Акмолинская область,Зерновые и бобовые (группа),3702435.9,3475908.7,960.0,stat_gov_kz_real_group
2007,Акмолинская область,Зерновые и бобовые (группа),3875187.1,4456147.7,1160.0,stat_gov_kz_real_group
2008,Акмолинская область,Зерновые и бобовые (группа),4131350.1,3011589.6,750.0,stat_gov_kz_real_group
2009,Акмолинская область,Зерновые и бобовые (группа),4542656.4,5067792.5,1120.0,stat_gov_kz_real_group
2010,Акмолинская область,Зерновые и бобовые (группа),4433671.9,2141940.9,520.0,stat_gov_kz_real_group
2011,Акмолинская область,Зерновые и бобовые (группа),4278932.8,6597582.83,1560.0,stat_gov_kz_real_group
2012,Акмолинская область,Зерновые и бобовые (группа),4353709.2,2821989.18,700.0,stat_gov_kz_real_group
2013,Акмолинская область,Зерновые и бобовые (группа),4252009.04,4411681.732,1043.96,stat_gov_kz_real_group
2014,Акмолинская область,Зерновые и бобовые (группа),4173377.76,4502620.2530000005,1100.0,stat_gov_kz_real_group
2015,Акмолинская область,Зерновые и бобовые (группа),4193825.8,4434704.470000001,1080.0,stat_gov_kz_real_group
2016,Акмолинская область,Зерновые и бобовые (группа),4353422.57,5023770.648000001,1160.0,stat_gov_kz_real_group
2017,Акмолинская область,Зерновые и бобовые (группа),4350556.41,4822265.4399999995,1120.0,stat_gov_kz_real_group
2018,Акмолинская область,Зерновые и бобовые (группа),4334225.1,5037421.82,1166.86,stat_gov_kz_real_group
2019,Акмолинская область,Зерновые и бобовые (группа),4447889.9,4192521.44,951.7099999999999,stat_gov_kz_real_group
2020,Акмолинская область,Зерновые и бобовые (группа),4462838.2,5093947.010000001,1160.0,stat_gov_kz_real_group
2021,Акмолинская область,Зерновые и бобовые (группа),4585629.04,3875860.9420000003,869.9999999999999,stat_gov_kz_real_group
2022,Акмолинская область,Зерновые и бобовые (группа),4670645.5,5350226.460000001,1160.0,stat_gov_kz_real_group
2023,Акмолинская область,Зерновые и бобовые (группа),4915073.1,3215532.24,690.0,stat_gov_kz_real_group
2024,Акмолинская область,Зерновые и бобовые (группа),4693012.24,6036081.04,1310.0,stat_gov_kz_real_group
2025,Акмолинская область,Зерновые и бобовые (группа),4680325.36,7174034.220000001,1550.0,stat_gov_kz_real_group
1991,Акмолинская область,Масличные (группа),27800.0,2617.5,180.0,stat_gov_kz_real_group
1992,Акмолинская область,Масличные (группа),69000.0,9129.300000000001,300.0,stat_gov_kz_real_group
1993,Акмолинская область,Масличные (группа),42600.0,3800.6000000000004,229.99999999999997,stat_gov_kz_real_group
1994,Акмолинская область,Масличные (группа),33400.0,4417.900000000001,260.0,stat_gov_kz_real_group
1995,Акмолинская область,Масличные (группа),26500.0,2820.2000000000003,200.0,stat_gov_kz_real_group
1996,Акмолинская область,Масличные (группа),20000.0,1964.1000000000001,,stat_gov_kz_real_group
1997,Акмолинская область,Масличные (группа),6200.0,648.3000000000001,,stat_gov_kz_real_group
