year,region,crop,district,area_ha,production_ton,yield_kgha,source
1991,Акмолинская область,Зерновые и бобовые (группа),Аккольский,257200.0,82100.0,,stat_gov_kz_real_group
1992,Акмолинская область,Зерновые и бобовые (группа),Аккольский,246100.0,267400.0,,stat_gov_kz_real_group
1993,Акмолинская область,Зерновые и бобовые (группа),Аккольский,224100.0,178400.0,,stat_gov_kz_real_group
1994,Акмолинская область,Зерновые и бобовые (группа),Аккольский,223900.0,116700.0,,stat_gov_kz_real_group
1995,Акмолинская область,Зерновые и бобовые (группа),Аккольский,216600.0,95200.0,,stat_gov_kz_real_group
1996,Акмолинская область,Зерновые и бобовые (группа),Аккольский,200300.0,102400.0,,stat_gov_kz_real_group
1997,Акмолинская область,Зерновые и бобовые (группа),Аккольский,154000.0,55500.0,,stat_gov_kz_real_group
1998,Акмолинская область,Зерновые и бобовые (группа),Аккольский,113700.0,28700.0,360.0,stat_gov_kz_real_group
1999,Акмолинская область,Зерновые и бобовые (группа),Аккольский,84500.0,117400.0,1490.0,stat_gov_kz_real_group
2000,Акмолинская область,Зерновые и бобовые (группа),Аккольский,95000.0,90300.0,950.0,stat_gov_kz_real_group
2001,Акмолинская область,Зерновые и бобовые (группа),Аккольский,100000.0,119500.0,1190.0,stat_gov_kz_real_group
2002,Акмолинская область,Зерновые и бобовые (группа),Аккольский,133000.0,114200.0,860.0,stat_gov_kz_real_group
2003,Акмолинская область,Зерновые и бобовые (группа),Аккольский,133000.0,103400.0,780.0,stat_gov_kz_real_group
2004,Акмолинская область,Зерновые и бобовые (группа),Аккольский,133400.0,63080.3,470.0,stat_gov_kz_real_group
2005,Акмолинская область,Зерновые и бобовые (группа),Аккольский,138000.0,94632.70000000001,710.0,stat_gov_kz_real_group
2006,Акмолинская область,Зерновые и бобовые (группа),Аккольский,114508.0,107128.5,940.0,stat_gov_kz_real_group
2007,Акмолинская область,Зерновые и бобовые (группа),Аккольский,123630.0,113929.20000000001,919.9999999999999,stat_gov_kz_real_group
2008,Акмолинская область,Зерновые и бобовые (группа),Аккольский,143008.0,49594.100000000006,400.0,stat_gov_kz_real_group
2009,Акмолинская область,Зерновые и бобовые (группа),Аккольский,146037.0,185109.1,1270.0,stat_gov_kz_real_group
2010,Акмолинская область,Зерновые и бобовые (группа),Аккольский,134197.0,71709.7,560.0,stat_gov_kz_real_group
2011,Акмолинская область,Зерновые и бобовые (группа),Аккольский,124336.0,158933.5,1280.0,stat_gov_kz_real_group
2012,Акмолинская область,Зерновые и бобовые (группа),Аккольский,133309.0,74333.7,590.0,stat_gov_kz_real_group
2013,Акмолинская область,Зерновые и бобовые (группа),Аккольский,128355.68,120034.70000000001,940.0,stat_gov_kz_real_group
2014,Акмолинская область,Зерновые и бобовые (группа),Аккольский,123428.51,99956.011,819.9999999999999,stat_gov_kz_real_group
2015,Акмолинская область,Зерновые и бобовые (группа),Аккольский,107764.0,106505.83000000002,1029.58,stat_gov_kz_real_group
2016,Акмолинская область,Зерновые и бобовые (группа),Аккольский,122333.0,133149.9,1088.42,stat_gov_kz_real_group
2017,Акмолинская область,Зерновые и бобовые (группа),Аккольский,125840.6,117870.3,936.66,stat_gov_kz_real_group
2018,Акмолинская область,Зерновые и бобовые (группа),Аккольский,127839.0,134328.11000000002,1050.0,stat_gov_kz_real_group
2019,Акмолинская область,Зерновые и бобовые (группа),Аккольский,137887.7,132446.74,960.0,stat_gov_kz_real_group
2020,Акмолинская область,Зерновые и бобовые (группа),Аккольский,138412.0,166197.23,1200.0,stat_gov_kz_real_group
2021,Акмолинская область,Зерновые и бобовые (группа),Аккольский,139092.1,123884.0,891.82,stat_gov_kz_real_group
2022,Акмолинская область,Зерновые и бобовые (группа),Аккольский,169757.1,180085.66000000003,1063.28,stat_gov_kz_real_group
2023,Акмолинская область,Зерновые и бобовые (группа),Аккольский,165470.5,72332.01,509.99999999999994,stat_gov_kz_real_group
2024,Акмолинская область,Зерновые и бобовые (группа),Аккольский,157445.9,217834.15000000002,1450.0,stat_gov_kz_real_group
2025,Акмолинская область,Зерновые и бобовые (группа),Аккольский,155440.3,241174.03,1560.0,stat_gov_kz_real_group
1991,Акмолинская область,Масличные (группа),Аккольский,300000.0,,,stat_gov_kz_real_group
1992,Акмолинская область,Масличные (группа),Аккольский,2400.0,,,stat_gov_kz_real_group
1993,Акмолинская область,Масличные (группа),Аккольский,1600.0,,,stat_gov_kz_real_group
1994,Акмолинская область,Масличные (группа),Аккольский,1200.0,,,stat_gov_kz_real_group
