article_id,date_from,date_to,USD,RUB,EUR,CNY
4562,2026-08-31,2026-09-06,456.56,5.28,530.52,68.03
4548,2026-08-24,2026-08-30,464.77,5.41,541.36,69.16
4535,2026-08-17,2026-08-23,456.88,5.47,534.64,67.98
4521,2026-08-10,2026-08-16,464.02,5.54,536.18,68.83
4492,2026-07-27,2026-08-02,473.59,5.94,544.68,70.15
4476,2026-07-20,2026-07-26,476.07,6.08,541.86,70.3
4423,2026-06-29,2026-07-05,472.03,6.11,540.29,69.61
4408,2026-06-22,2026-06-28,486.47,6.26,554.77,71.56
4398,2026-06-15,2026-06-21,488.37,6.64,559.77,72.15
4391,2026-06-08,2026-06-14,489.33,6.74,566.3,72.36
4374,2026-06-01,2026-06-07,487.44,6.62,567.38,72.05
4361,2026-05-25,2026-05-31,485.95,6.83,565.74,71.81
