year,region,crop,area_ha,production_ton,yield_kgha,source,crop_en,wheat_hrw_usd_t,wheat_srw_usd_t,barley_usd_t,maize_usd_t,rapeseed_oil_usd_t,sunflower_oil_usd_t,soybean_oil_usd_t,palm_oil_usd_t,dap_fertilizer_usd_t,urea_fertilizer_usd_t,gs_t2m_kelvin,gs_precip_m,gs_pot_evap_m,gs_soil_water_l1,gs_soil_water_l2,gs_solar_rad_jm2,gs_t2m_celsius,gs_precip_mm,gs_pot_evap_mm,gs_solar_rad_mjm2,soil_bdod,soil_cec,soil_clay,soil_nitrogen,soil_phh2o,soil_sand,soil_silt,soil_soc,yield_kgha_lag1,yield_kgha_lag2,yield_kgha_lag3,yield_kgha_roll3,yield_kgha_roll5,wheat_price_lag1,wheat_price_lag2,wheat_price_lag3
1991,Акмолинская область,Зерновые и бобовые (группа),4700100.0,2607800.0,640.0,stat_gov_kz_real_group,Grains and legumes (group),128.665,126.11333333333332,78.28666666666668,107.42,,,453.8333333333333,339.0,158.25,138.39583333333334,289.4228781082117,0.0009343776565692,-0.0076138023959919,0.2749421243708697,0.2726190423136933,19517949.456947003,16.271666666666665,28.62833333333333,232.5883333333333,595.8688333333333,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,,,,,,,,
1992,Акмолинская область,Зерновые и бобовые (группа),4670700.0,6918800.0,1780.0,stat_gov_kz_real_group,Grains and legumes (group),151.20000000000002,145.14166666666668,78.675,104.24583333333334,,,428.9166666666667,393.5,137.87291666666667,117.60416666666669,286.1462164733199,0.001587081570155,-0.0058962070838926,0.3238320989497196,0.314460981720859,17518385.362479795,12.996666666666668,48.571666666666665,180.23666666666668,534.7633333333333,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,640.0,,,,,128.665,,
1993,Акмолинская область,Зерновые и бобовые (группа),4580600.0,4186000.0,1050.0,stat_gov_kz_real_group,Grains and legumes (group),140.23833333333334,134.77416666666667,71.37666666666667,102.09,,,480.4166666666667,377.75,121.99583333333334,85.54166666666667,286.5032254438799,0.0018242492716733,-0.0059341347768195,0.3412156334801042,0.3334294545721231,17802869.81034017,13.353333333333332,55.67666666666667,181.505,543.7543333333333,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,1780.0,640.0,,,,151.20000000000002,128.665,
1994,Акмолинская область,Зерновые и бобовые (группа),4390300.0,2954500.0,680.0,stat_gov_kz_real_group,Grains and legumes (group),149.72916666666666,138.555,72.64833333333333,107.55,,,615.5833333333334,528.4166666666666,160.42430555555583,93.88541666666669,287.6453967794925,0.0015026814775752,-0.0064281213580353,0.3179925579238541,0.311833527420417,17951582.47125991,14.495,46.09666666666667,196.15,547.679,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,1050.0,1780.0,640.0,1156.6666666666667,,140.23833333333334,151.20000000000002,128.665
1995,Акмолинская область,Зерновые и бобовые (группа),4193500.0,2444600.0,620.0,stat_gov_kz_real_group,Grains and legumes (group),176.9825,167.35833333333335,104.01083333333334,123.4875,,,625.0833333333334,628.25,199.7722222222225,126.8625,289.27058141143675,0.0011469081810659,-0.0075251830486656,0.2788567650788104,0.2701835153868188,19088493.658715498,16.12,35.15333333333333,229.86333333333332,582.5523333333334,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,680.0,1050.0,1780.0,1170.0,,149.72916666666666,140.23833333333334,151.20000000000002
1996,Акмолинская область,Зерновые и бобовые (группа),4054000.0,2616300.0,740.0,stat_gov_kz_real_group,Grains and legumes (group),207.6,187.41916666666668,119.66583333333334,165.80916666666667,,,551.5,530.9166666666666,198.10416666666663,153.69166666666666,286.9755233079305,0.0014654919002979,-0.0063641143936894,0.3104159130843208,0.2973663011090053,18178095.137549862,13.823333333333332,44.76499999999999,194.47833333333327,555.0428333333333,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,620.0,680.0,1050.0,783.3333333333334,954.0,176.9825,149.72916666666666,140.23833333333334
1997,Акмолинская область,Зерновые и бобовые (группа),3633300.0,1973000.0,560.0,stat_gov_kz_real_group,Grains and legumes (group),159.48416666666665,143.64833333333334,97.23833333333332,117.09166666666664,,,564.75,545.8333333333334,186.98958333333331,117.49375,289.0044009928392,0.0009752120048686,-0.0075847002625326,0.2766567016032366,0.2732509295749538,18893177.6412589,15.853333333333332,29.92333333333333,231.53166666666667,576.4536666666667,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,740.0,620.0,680.0,680.0,974.0,207.6,176.9825,149.72916666666666
1998,Акмолинская область,Зерновые и бобовые (группа),3080500.0,1055700.0,370.0,stat_gov_kz_real_group,Grains and legumes (group),126.12666666666668,111.515,85.05333333333333,101.98666666666666,,,625.9166666666666,671.0833333333334,186.86319444444416,83.21666666666667,288.83009798572283,0.0010475480592592,-0.0076466506391867,0.2799554650461078,0.2718331940725227,19291600.86951696,15.678333333333336,31.91,233.9033333333333,589.2715,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,560.0,740.0,620.0,640.0,730.0,159.48416666666665,207.6,176.9825
1999,Акмолинская область,Зерновые и бобовые (группа),2728207.0,3577500.0,1330.0,stat_gov_kz_real_group,Grains and legumes (group),112.0425,96.27833333333332,75.93833333333333,90.21666666666664,,,426.4683333333333,436.0,171.1,65.94236111111083,287.91882916991966,0.0015261135695581,-0.0068473304165252,0.3049673180623376,0.2960342309769855,18512508.022182222,14.768333333333333,46.571666666666665,209.4766666666667,565.4951666666667,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,370.0,560.0,740.0,556.6666666666666,594.0,126.12666666666668,159.48416666666665,207.6
2000,Акмолинская область,Зерновые и бобовые (группа),3191176.0,2541900.0,790.0,stat_gov_kz_real_group,Grains and legumes (group),114.0875,98.91416666666667,77.23416666666667,88.53416666666668,,,338.14000000000004,310.25,147.66875000000002,100.92291666666668,288.3580851055727,0.0015042011602884,-0.0069634538916046,0.3043780031375253,0.2939117146096706,18417993.28256339,15.21,45.97666666666667,212.6483333333333,562.1255,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,1330.0,370.0,560.0,753.3333333333334,724.0,112.0425,126.12666666666668,159.48416666666665
